id,name,country,status,formed_in,active
17724,Axen Province,United States,Active,1986,1986-1998| 2008-present
17725,Axenic,United States,Unknown,N/A,N/A
17726,Axeslasher,United States,Active,2011,2011-present
17727,Axeslaughter,Finland,Active,2006,2006-present
17728,Axial Symmetry,Ireland,Active,2009,2009-present
17729,Axiom,New Zealand,Split-up,N/A,N/A
17730,Axioma,Canada,Split-up,N/A,N/A
17731,Axis in Collapse,United States,Active,2010,?-2010 (as Demoniac Vengeance)| 2010-present
17732,Axis of Advance,Canada,Split-up,1998,1993-1998 (as Sacramentary Abolishment)| 1998-2007
17733,Axis of Evil,Italy,Changed name,2006,2006-2011| 2011-present (as We Joined the Sky)
17734,Axolution,Germany,Active,1992,1992-1993 (as Evil Church)| 1993| 2013-present
17735,Axsaena,Romania,Active,2012,2012-present
17736,Ayaksvoksom,France,Active,2002,2002-present
17737,Ayat Akrass,Brazil,Split-up,2003,2003-2009
17738,Azael,Chile,Changed name,2002,2002-2006| 2006-present (as Insorcist)
17739,Azagthoth,Japan,Unknown,1995,1995-?
17740,Azarath,Poland,Active,1998,1998-present
17741,Azarius,United States,Split-up,1993,1993-?
17742,Azatoth,Sweden,Split-up,1994,1994-1996
17743,Azazel,New Zealand,Changed name,1991,1990-1991 (as Gore Story)| 1991-1993| 1993-1994 (as Enshrine)
17744,Azazel,Poland,Split-up,1992,1992-?
17745,Azeazeron,Sweden,Unknown,1996,1996-?
17746,Azenith,Canada,Split-up,2007,2007-2011
17747,Azer,Italy,On hold,2000,2000-?
17748,Azhirock,Iran,Active,2001,2001-present
17749,Azitkom,France,Changed name,2004,2004-2008| 2008-present (as As It Comes)
17750,Azmaveth,Puerto Rico,Active,1999,1999 (as Exousia)| 1999-present
17751,Azotobacter,Cuba,Active,2005,2005-present
17752,Azrael,Sweden,Split-up,N/A,N/A
17753,Azrath-11,Italy,Active,2007,2007-present
17754,Aztec,Israel,Split-up,1995,1995-1998| 1995-?
17755,Azterion,Costa Rica,Active,2000,2000-present
17756,Azziard,France,Active,2001,2001-present
17757,B-Low,Netherlands,Active,1995,1995-present
17758,B.R.A.S.H.,United States,Active,N/A,N/A
17759,B.X.M.S.,Russia,Active,2005,2005-present
17760,Baal Berit,Poland,Split-up,1993,1993-?
17761,Baalberith,Russia,Active,2007,2007-present
17762,Baalmoral,Germany,Split-up,2004,2004-?
17763,Baatezu,Netherlands,Split-up,2004,2004-?
17764,Baba Yaga,United States,Split-up,1996,1996-2000
17765,Babylon,Italy,Changed name,1995,1995-present
17766,Bacchanalia,Greece,Active,2012,2012-present
17767,Backbitten from Alive,Indonesia,On hold,2005,2005-2013
17768,BackSlide,Ukraine,Active,N/A,N/A
17769,Backstabber,Canada,Active,2012,2015-present
17770,Backyard Burial,New Zealand,Split-up,1998,1998-2011
17771,Bacon Warriors,Sweden,Changed name,1992,1992-1996| 1996-2003 (as Dethronement)
17772,Bacterial Vaginosis,Indonesia,Active,2005,2005-present
17773,Bad Face,Czech Republic,Active,2004,2004-present
17774,Bad Taste,Brazil,Active,2012,2012-present
17775,BadTrippe,Canada,Unknown,2006,2006-?
17776,Bag a Head,Greece,Unknown,2005,2001-2005 (as Under Concrete)| 2005-?
17777,Bagronk,Argentina,Active,2001,2001-2002| 2005-present
17778,Bajo Zero,Venezuela,Active,1995,? (as Bajo Cero)| 1995-present
17779,Balam Akab,Mexico,Active,1999,1999-present
17780,Balatonizer,Italy,Active,1998,1998-present
17781,Baneworth,Austria,Unknown,2006,2006-?
17782,Bangkai,Indonesia,Split-up,N/A,N/A
17783,Banished Reality,Germany,Split-up,1992,1992-2004
17784,Baphogoat,Malaysia,Active,2008,2008-present
17785,Baphomet,Brazil,Split-up,1985,1985-?
17786,Baphomet,Germany,Split-up,1986,1986-1995
17787,Baphomet Throne Hell's,Bolivia,Active,N/A,N/A
17788,Baphomet's Crest,United States,Active,N/A,N/A
17789,Baphometh,Venezuela,Active,1988,1988-1993| 2014-present
17790,Baphometic War Command,International,Active,N/A,N/A
17791,Baphomilitia,Turkey,Active,2012,2012-present
17792,Baphovomit,Finland,Split-up,2009,2009-2011
17793,Barabbas,United States,Active,N/A,N/A
17794,Baraka,Australia,Changed name,1998,1998-2004| 2004-2007 (as The Black Arts Movement)
17795,Barbarian Prophecies,Spain,Active,2000,2000-present
17796,Barbarous,China,Active,N/A,N/A
17797,Barbatos,Argentina,Active,2003,2003-present
17798,Bare Bones,Poland,Split-up,2006,2006-2009
17799,Barehanded,Slovenia,Active,2001,2001-present
17800,Barghest,United States,Active,2006,2006-present
17801,Bariel,Poland,Split-up,N/A,N/A
17802,Barkron,Peru,Unknown,2008,2008-?
17803,Baron Haze,Australia,Active,N/A,N/A
17804,Barrabás d.C,Brazil,Split-up,2003,2003-2013
17805,Barzak,Bangladesh,Changed name,2003,2003-2008| 2008-present (as Orator)
17806,Basara,Italy,Active,2014,2014-present
17807,Basement,Poland,Active,2008,2008-present
17808,Basement Torture Killings,United Kingdom,Active,2007,2007-present
17809,Basilisk,Japan,Active,1997,1997-present
17810,Bastard,Iceland,Split-up,2006,2006-2012
17811,Bastard,Poland,Split-up,2001,2001-?
17812,Bastard Peels,Austria,Active,2002,2002-present
17813,Bastard Spawn,United States,Split-up,1995,1995-?
17814,Bastinado,Finland,Active,2011,2011-present
17815,Bastión,Argentina,Active,N/A,N/A
17816,Bateria,Sweden,Split-up,N/A,N/A
17817,Bathym,United States,Unknown,1989,1989-?
17818,Battalion Slaughtered,United States,Unknown,2013,2013-?
17819,Battlelust,Sweden,Split-up,1993,? (as Ondska)| ? (as Battlestorm)| 1993-1998
17820,Battlemaster,United States,Active,2003,2003-present
17821,Battlestorm,Singapore,Active,2007,2007-present
17822,Battue,Germany,Active,2004,2004-present
17823,Baubas,Lithuania,Active,2008,2008-present
17824,Bayi,United States,Split-up,2002,2002-2004 (as Bloody Anal Yeast Infection)| 2004-2008
17825,Beansidhe,Switzerland,Active,1999,1999-present
17826,Beargalat,Finland,Split-up,N/A,N/A
17827,Bearish,Brazil,Changed name,1991,1991-?| ?-present (as Death Altar)
17828,Beast of Damnation,Netherlands,Active,2005,2005-present
17829,Beast of Hades,Chile,Active,N/A,N/A
17830,Beast of Prey,Slovakia,Split-up,N/A,N/A
17831,Beast Petrify,Singapore,Active,1993,1993-present
17832,Beastgod,United States,Active,2011,2011-present
17833,Beasthrone,United States,Active,2014,2014-present
17834,Beastie Noise,Poland,Split-up,1992,1991-1992 (as Traitors)| 1992-?
17835,Beastplague,United States,Active,2012,2012-present
17836,Beautician,United Kingdom,Active,2002,2002-present
17837,Beautiful Cafillery,Czech Republic,Active,2002,2002-present
17838,Becoming,United States,Active,1998,1998-present
17839,Bedlam,Brazil,Active,1999,1999-present
17840,Bedlam,Greece,Split-up,N/A,N/A
17841,Bedlam,Poland,Split-up,2006,2006-2009
17842,Bedlam Massacre,United States,Active,N/A,2005-2009| 2012-present
17843,Beeline,China,Split-up,2000,2000 (as 3LT)| 2000-?
17844,Beelzeebuth,Brazil,Split-up,N/A,N/A
17845,Beer Corpse,Australia,Active,2006,2006-present
17846,Beer Vomit,France,Split-up,1998,1998-2001
17847,Beerdigungs Lauten,Armenia,Split-up,1993,1993-1995
17848,Beerth,Poland,Split-up,2005,2005-?
17849,Befamal,Brazil,Split-up,1998,1998-?
17850,Before the Disengaged,Finland,Active,N/A,2007-? (as Metaphoris)| ?-present
17851,Before the Rain,Portugal,Active,1997,1997-present
17852,Begerith,Poland,Active,2003,2003-present
17853,Begrime Exemious,Canada,Active,2005,2005-present
17854,Behatred,Portugal,Active,2005,2005-present
17855,Behavior,Brazil,Split-up,1989,1989-1994
17856,Behavior,Japan,Active,N/A,N/A
17857,Behead Demons,Mexico,Active,2007,2007-present
17858,Behead the Dead,Portugal,Active,2007,2007-present
17859,Behead the Romantic,United States,Split-up,N/A,N/A
17860,Beheaded,Poland,Split-up,1992,1992-1998| 2002
17861,Beheaded Nasrani,Singapore,Split-up,1991,1990-1991 (as Beheaded)| 1991-1992
17862,Beheader,Peru,Active,2012,2012-present
17863,Behelmod,United States,Split-up,2000,2000-?
17864,Behemoth,Brazil,Changed name,1992,1992-1994| 1994-? (as Archangellus)
17865,Behemoth,Sweden,Changed name,1992,1992-1994| 1994-present (as In Aeternum)
17866,Behest,Brazil,Active,2005,2005-present
17867,Behind the Sun,United States,Split-up,2000,2000-2007
17868,Behold the Defiant,Australia,Active,2014,2014-present
17869,Bel-Dalkhu,Australia,Active,2004,2004-present
17870,Beleth,Japan,Split-up,N/A,N/A
17871,Belfegor,Peru,Active,1999,1999-present
17872,Belial,Chile,Active,1985,1985-present
17873,Belial,Czech Republic,Split-up,1991,1991-?
17874,Belial,Singapore,Split-up,1990,1990-?
17875,Belifer,Brazil,Split-up,1993,1993-?| 1993-?
17876,Beligernt,United States,Split-up,N/A,N/A
17877,Bellator,Belgium,Active,1995,1995-2003| 2010-present
17878,Bellicose,United States,Active,1995,1995-present
17879,Bellicum Bestiallis,Brazil,Active,N/A,N/A
17880,Belligerent,United States,Active,2004,2004-present
17881,Belligerent Intent,Australia,Active,2007,2007-present
17882,Bells of Insanity,France,Changed name,2004,2004-?| ?-present (as Scandalous)
17883,Belphegor,Austria,Active,1992,1991-1992 (as Betrayer)| 1992-present
17884,Beltfed Weapon,United States,Active,N/A,N/A
17885,Belzebooh!,Argentina,Active,2006,2006-present
17886,Belzebuth,Turkey,Split-up,1997,1997-?
17887,Beneath the Ashes,United States,Active,1998,1998-present
17888,Beneath the Frozen Soil,Sweden,Unknown,2004,2004-?
17889,Beneath the Machine,United States,Active,2010,2010-present
17890,Beneath the Sands,United States,Split-up,2004,2004-?
17891,Beneath Utopia,United Kingdom,Active,1996,1996-present
17892,Benefactor,Slovenia,Split-up,1991,1991-?
17893,Beneth,Hungary,Active,1999,1999-present
17894,Benighted,Italy,Changed name,2001,2001-2002| 2002-? (as Rust of Reason)
17895,Benighted,Sweden,Changed name,1992,1992-1994| 1994-? (as Spiteful)
17896,Bennifer,United States,Unknown,N/A,N/A
17897,Beowulf,United States,Split-up,1992,1992-?
17898,Berbe,Sweden,Unknown,N/A,N/A
17899,Bereaved,Japan,Active,1997,1997-present
17900,Bereavement,United States,Split-up,1993,1993-?
17901,Berial,Poland,Split-up,1996,1996-?
17902,Berkowitz,Germany,Active,2008,2008-present
17903,Bersimbah Darah,Indonesia,Active,2007,2007-present
17904,Berzeker,Colombia,Active,2004,2004-present
17905,Besieged,Canada,Active,2003,2003-?| ?-present
17906,Bestemmia Aeternalis,United States,Active,1999,1999-present
17907,Bestia,Mexico,Active,2012,2012-present
17908,Bestial Blasphemy,Chile,Active,N/A,N/A
17909,Bestial Ceremony,Brazil,Split-up,1993,1993-?
17910,Bestial Chaos,Germany,Active,2013,2009-2013 (as Between Man and God)| 2013-present
17911,Bestial Death,Argentina,Unknown,N/A,N/A
17912,Bestial Death,Israel,Split-up,1985,1985-1989
17913,Bestial Deathkult,United States,Active,N/A,N/A
17914,Bestial Evil,Italy,Active,N/A,N/A
17915,Bestial Evil,United States,Active,2013,2013-present
17916,Bestial Hellcult,Malaysia,Active,2011,2011-present
17917,Bestial Invocation,United States,Active,2013,2013-present
17918,Bestial Mutilation,Netherlands,Active,2011,2011-present
17919,Bestial Mölestor,Brazil,Active,2010,2010-present
17920,Bestial Raids,Poland,Active,2003,2003-present
17921,Bestial Vomit,Peru,Active,2012,2014-present
17922,Bestial War,Brazil,Split-up,1986,1986-1987 (as Misantrophic Christ)| 1987-1989
17923,Bestial Warlust,Australia,Split-up,1993,1990-1993 (as Corpse Molestation)| 1993-1997
17924,Bestializer,Italy,Active,2010,2010-present
17925,Bestially Raped Till Dismembered,Hungary,Active,2006,2006-present
17926,Bethzaida,Norway,Split-up,1993,1993-?
17927,Betrayed,Germany,Active,2001,2001-present
17928,Betrayer,Austria,Changed name,1991,1991-1992| 1992-present (as Belphegor)
17929,Betrayer,Bolivia,Split-up,2005,2005-?
17930,Betrayer,Colombia,Active,2008,2008-present
17931,Betrayer,Honduras,Active,2003,2003-present
17932,Betrayer,Indonesia,On hold,1991,1991-2012
17933,Betrayer,Israel,Split-up,1992,1992-1999
17934,Between,Indonesia,Active,2010,2010-present
17935,Between the Frost,Spain,Active,1993,1993-present
17936,Between Two Evils,United States,Unknown,N/A,2009-?
17937,Bewaarder,Russia,Unknown,2002,2002-?
17938,Beyond Belief,Netherlands,Split-up,1986,1986-?| 2004-2012
17939,Beyond Death,Chile,Active,1989,1989-1992| 2007-present
17940,Beyond Exorcism,Greece,Active,2007,2007-2009| 2011-present
17941,Beyond Faith,Bulgaria,Active,2014,2014-present
17942,Beyond Hatred,Italy,Split-up,1995,1995-?
17943,Beyond Horizon,Russia,Split-up,1995,1995-?
17944,Beyond Insanity,France,Active,2007,2007-present
17945,Beyond Murder,Italy,Split-up,2009,2009-2012
17946,Beyond North,Germany,Unknown,N/A,N/A
17947,Beyond Redemption,United Kingdom,On hold,1996,1996-present
17948,Beyond Stench,Mexico,Active,2006,2006-present
17949,Beyond the Cemetery,United States,Active,2009,2009-present
17950,Beyond the Darkness,Belarus,Active,2006,2006-present
17951,Beyond the Existence,Greece,Active,2012,2012-present
17952,Beyond the Rage,Italy,Split-up,2003,2003-?
17953,Beyond the Realm,Portugal,Split-up,2004,2004-?
17954,Beyond the Unholy Truth,Italy,Split-up,2008,2008-2012
17955,Beyond Your Belief,Germany,Split-up,2006,2006-2008
17956,Bezukry,France,Active,2001,2001-present
17957,Biblical Infamy,Malta,Split-up,1988,1988-1992
17958,Bicyklothorturerere,Slovakia,Active,N/A,N/A
17959,Bicéfalo,Portugal,Active,2009,2009-present
17960,Big Yellow Day,Czech Republic,Active,2005,2005-present
17961,Bigotry,Czech Republic,Changed name,1989,1989-1993| 1993-present (as Dissolving of Prodigy)
17962,Bile Nephrosis,United States,Split-up,N/A,2005-? (as Pile the Bodies)| ?-?
17963,Bilik Mayat,Malaysia,Active,2012,2012-present
17964,Bilocate,Jordan,Active,2003,2003-present
17965,Bind.Torture.Kill,Australia,Changed name,N/A,N/A
17966,BioChrist,United States,Active,1994,1994-present
17967,Biocidio,United States,Active,2011,2011-present
17968,Biolence,Portugal,Active,1998,1998-present
17969,Biologic Enemy,Brazil,Split-up,2001,2001-?
17970,Biological Monstrosity,Canada,Active,2004,2004-present
17971,Biomenace,Brazil,Split-up,1999,1999-?
17972,Bird Eater,United States,Split-up,2005,2005-?
17973,Birds of Prey,United States,Active,2005,2005-present
17974,Birth by the Grind,United States,Active,N/A,N/A
17975,Birth of Ignorance,United States,Split-up,N/A,N/A
17976,Birthdecline,France,Split-up,2000,2000-2004
17977,Bismukh,Norway,Active,2007,2007-present
17978,Bisonhammer,United Kingdom,Split-up,N/A,?-2012| 2015-2016
17979,Bitch Hunter,United States,Active,2000,2000-present
17980,Bitter Legacy,United States,Unknown,2004,2004-?
17981,Bitter Loss,Germany,Split-up,2003,2003-?
17982,Bitter Peace,United States,Active,2005,2005-present
17983,Bitterness,Czech Republic,Split-up,2003,2003-?
17984,Bizarre of Brutality,Slovakia,Split-up,1996,1996-?
17985,Bizzarre Kings,Brazil,Split-up,1998,1998-?
17986,BK 49,Germany,Split-up,1996,1996-2003
17987,Black Agressor,France,Split-up,N/A,N/A
17988,Black Angel,Peru,Active,1993,1993-present
17989,Black Arrows of Filth & Impurity,United States,Split-up,2004,2004-?
17990,Black Art,Netherlands,Split-up,1993,1993-?
17991,Black Art,Russia,Active,2005,2005 (as Evillive)| 2005-present
17992,Black Barrel Smoke,Sweden,Active,N/A,N/A
17993,Black Bleeding,Belgium,Active,1998,1998-present
17994,Black Blood of the Earth,Poland,Active,2008,2008-present
17995,Black Blood Stigmata,United States,Active,2002,2002-present
17996,Black Canvas,Norway,Active,2004,2004-present
17997,Black Ceremonial Kult,Chile,Active,2014,2014-present
17998,Black Communion,Colombia,Active,2013,2013-present
17999,Black Cross,Brazil,Active,2000,2000-?| 2015-present
18000,Black Cross,Mexico,Active,2014,2014-present
18001,Black Damp Diery,United States,Active,2006,2006-present
18002,Black Death,France,Split-up,1991,1991-?
18003,Black Despondency,United Kingdom,Unknown,2005,2005-?
18004,Black Dethe,United States,Split-up,1985,1985-1988
18005,Black Eternity,Germany,Split-up,1992,1992-?
18006,Black Feast,Finland,Split-up,2009,2009-2012
18007,Black Flame,Italy,Active,1998,1998-present
18008,Black Forest,Russia,Split-up,N/A,1996-2000
18009,Black Goat Desecrator,Chile,Active,2014,2014-present
18010,Black Harvest,Germany,Active,1998,1998-present
18011,Black Heaven,Czech Republic,Split-up,1992,1992-?
18012,Black Insanity,Germany,Active,1987,1987-1998| 2005-present
18013,Black Leviathan,Uruguay,Active,2014,2014-present
18014,Black Lodge,Norway,Split-up,1993,1993-?
18015,Black Mass,Norway,Split-up,1985,1985-?
18016,Black Mass,United Kingdom,Active,2010,2010-present
18017,Black Mass,United States,Active,1987,1987-present
18018,Black Mesa,New Zealand,Unknown,N/A,N/A
18019,Black Mesa Preservation Society,Netherlands,Active,2011,2011-present
18020,Black Mourners Veil,United States,Active,2004,2004-present
18021,Black Mouton,Chile,Active,1993,1993-present
18022,Black Pathology,United States,Active,2004,2004-2012| 2013-present
18023,Black Pearl,Japan,Active,N/A,2003-? (as Headless Cross)| ?-present
18024,Black Prophecy,Austria,Split-up,1994,1991-1994 (as Pandaemonium)| 1994-?
18025,Black Redemption,Indonesia,Active,N/A,N/A
18026,Black Sand,Italy,Split-up,2002,2002-?
18027,Black Scrap Metal,United States,Unknown,N/A,N/A
18028,Black Serpent,Australia,Active,2000,2000-present
18029,Black Spiral,Italy,Split-up,2005,2005-2008
18030,Black Spiral,United States,Split-up,1995,1995-?
18031,Black Sun Aeon,Finland,Split-up,2008,2008-2013
18032,Black Terror,Spain,Active,1998,1998-present
18033,Black Thyria,Germany,Active,N/A,N/A
18034,Black Torture,Singapore,Changed name,2004,2004-?| ?-present (as Exkruzio)
18035,Black Vendetta,United States,Active,2007,2007-present
18036,Black Vomit of Terror,Brazil,Split-up,N/A,N/A
18037,Black Vortex,Chile,Active,2015,2015-present
18038,Black Winter,Greece,Active,2000,2000-present
18039,Black Witchery,United States,Active,1999,1990-1994 (as Irreverent)| 1996-1999 (as Witchery)| 1999-present
18040,Black Wolf,Argentina,Active,2006,2006-present
18041,Black Wolf Sakrifice,United States,Unknown,2005,2005-?
18042,Blackened,Bolivia,Active,2006,2006-present
18043,Blackened,Spain,Active,1992,1992-1999| 2014-present
18044,Blackened Dawn,United States,Active,2006,2006-present
18045,Blackened Gloom,Russia,Split-up,2009,2009
18046,Blackened Wisdom,United States,Split-up,1992,1992-?
18047,BlackForce,Brazil,Active,2014,2014-present
18048,Blackhorned Saga,Poland,Active,2004,1994-? (as Lathspell)| 2004-present
18049,Blacklist,Netherlands,Split-up,2004,2004-?
18050,Blacklisted,United Kingdom,Split-up,1989,1989-2000
18051,Blacklung,United States,On hold,2012,2012-present
18052,Blackmage,Canada,Active,2007,2007-present
18053,Blackmarket Bodyparts,United States,Active,2002,2002-present
18054,Blackness,Brazil,Split-up,1990,1990-?
18055,Blackness,Portugal,Split-up,N/A,N/A
18056,Blackout,United Kingdom,Split-up,2003,2003-2010
18057,Blackstone,Venezuela,Active,2000,2000-present
18058,Blackwitch,Germany,Split-up,N/A,N/A
18059,Blade of Terror,Poland,Split-up,2004,2004-2012
18060,Blakknis,United States,Split-up,N/A,N/A
18061,Blame,France,Active,2004,2004-present
18062,Blameworthy Warlock,Poland,Split-up,1994,1994-?
18063,Blasfekum,Spain,Active,N/A,N/A
18064,Blasfema,Italy,Split-up,2005,2005-?
